id,anio,mes,maquina,central,agente,agente_descripcion,tipo_maquina,fuente_generacion,tecnologia,combustible,consumo,fecha_proceso,lote_id_log,indice_tiempo
222870,2019,10,PILBDI02,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS OIL,27.058,2020-05-05 11:07:07.467556,67,2019-10
222871,2019,10,PILBDI03,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,FUEL OIL,134.434,2020-05-05 11:07:07.467556,67,2019-10
222872,2019,10,PILBDI03,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS NATURAL,680.089,2020-05-05 11:07:07.467556,67,2019-10
222873,2019,10,PILBDI03,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS OIL,21.702,2020-05-05 11:07:07.467556,67,2019-10
222874,2019,10,PILBDI04,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,FUEL OIL,134.54,2020-05-05 11:07:07.467556,67,2019-10
222875,2019,10,PILBDI04,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS NATURAL,677.153,2020-05-05 11:07:07.467556,67,2019-10
222876,2019,10,PILBDI04,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS OIL,19.398,2020-05-05 11:07:07.467556,67,2019-10
222877,2019,10,PILBDI05,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,FUEL OIL,138.803,2020-05-05 11:07:07.467556,67,2019-10
222878,2019,10,PILBDI05,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS NATURAL,681.017,2020-05-05 11:07:07.467556,67,2019-10
222879,2019,10,PILBDI05,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS OIL,21.031,2020-05-05 11:07:07.467556,67,2019-10
222880,2019,10,PILBDI06,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,FUEL OIL,139.197,2020-05-05 11:07:07.467556,67,2019-10
222881,2019,10,PILBDI06,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS NATURAL,688.379,2020-05-05 11:07:07.467556,67,2019-10
222882,2019,10,PILBDI06,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS OIL,30.048,2020-05-05 11:07:07.467556,67,2019-10
222883,2019,10,PILBDI01,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,FUEL OIL,135.34,2020-05-05 11:07:07.467556,67,2019-10
222884,2019,10,PILBDI01,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS NATURAL,661.227,2020-05-05 11:07:07.467556,67,2019-10
222885,2019,10,PILBDI01,PILB,CTPPILAG,CT PILAR BS AS- PAMPA ENERGÍA,MOTOR DIESEL,Térmica,DI,GAS OIL,23.818,2020-05-05 11:07:07.467556,67,2019-10
222886,2019,10,ANCHDI02,ANCH,CTANCHOG,CT ANCHORIS - METHAX,MOTOR DIESEL,Térmica,DI,GAS NATURAL,372.578,2020-05-05 11:07:07.467556,67,2019-10
222887,2019,10,ANCHDI03,ANCH,CTANCHOG,CT ANCHORIS - METHAX,MOTOR DIESEL,Térmica,DI,GAS NATURAL,367.814,2020-05-05 11:07:07.467556,67,2019-10
222888,2019,10,ANCHDI04,ANCH,CTANCHOG,CT ANCHORIS - METHAX,MOTOR DIESEL,Térmica,DI,GAS NATURAL,364.855,2020-05-05 11:07:07.467556,67,2019-10
222889,2019,10,ANCHDI01,ANCH,CTANCHOG,CT ANCHORIS - METHAX,MOTOR DIESEL,Térmica,DI,GAS NATURAL,369.886,2020-05-05 11:07:07.467556,67,2019-10
222890,2019,10,EZEITG02,EZEI,CTEZEIZG,CT EZEIZA ETAPA1 G MEDITERRANE,TURBO GAS,Térmica,TG,GAS NATURAL,9429.012,2020-05-05 11:07:07.467556,67,2019-10
222891,2019,10,EZEITG03,EZEI,CTEZEIZG,CT EZEIZA ETAPA1 G MEDITERRANE,TURBO GAS,Térmica,TG,GAS NATURAL,9417.881,2020-05-05 11:07:07.467556,67,2019-10
222892,2019,10,MATETG02,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,0.537,2020-05-05 11:07:07.467556,67,2019-10
222893,2019,10,MATETG03,MATE,CTMATH2G,CT MATHEU II - APR ENERGY,TURBO GAS,Térmica,TG,GAS NATURAL,0.355,2020-05-05 11:07:07.467556,67,2019-10
